Serial,Unnamed: 1,Unnamed: 2,Name,Ripeness,Side Case,Symptom1,Symptom2,Symptom3,Recommendation 1,Recommendation 2,Photos,image_name,label,tomato_id,image_path,source_folder,split
22,,,T0006_S1,Ripe,defected,Long horizontal crack,,,,,,T0006_S1,defected,T0006,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0006_S1.JPG,Unsegmented,train
23,,,T0006_S2,Ripe,clear,,,,,,,T0006_S2,clear,T0006,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0006_S2.png,Manualy Segmented,train
23,,,T0006_S2,Ripe,clear,,,,,,,T0006_S2,clear,T0006,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0006_S2.JPG,Unsegmented,train
24,,,T0006_T,Ripe,defected,1 Long radial crack,,,,,,T0006_T,defected,T0006,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0006_T.png,Manualy Segmented,train
24,,,T0006_T,Ripe,defected,1 Long radial crack,,,,,,T0006_T,defected,T0006,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0006_T.JPG,Unsegmented,train
25,,7.0,T0007_E,Ripe,clear,,,,radial cracks,,,T0007_E,clear,T0007,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0007_E.png,Manualy Segmented,train
25,,7.0,T0007_E,Ripe,clear,,,,radial cracks,,,T0007_E,clear,T0007,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0007_E.JPG,Unsegmented,train
26,,,T0007_S1,Ripe,defected,Short horizontal cracks,,,,,,T0007_S1,defected,T0007,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0007_S1.png,Manualy Segmented,train
26,,,T0007_S1,Ripe,defected,Short horizontal cracks,,,,,,T0007_S1,defected,T0007,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0007_S1.JPG,Unsegmented,train
27,,,T0007_S2,Ripe,defected,Long horizontal crack,,,,,,T0007_S2,defected,T0007,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0007_S2.png,Manualy Segmented,train
27,,,T0007_S2,Ripe,defected,Long horizontal crack,,,,,,T0007_S2,defected,T0007,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0007_S2.JPG,Unsegmented,train
28,,,T0007_T,Ripe,defected,2 Long radial cracks,,,,,,T0007_T,defected,T0007,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0007_T.png,Manualy Segmented,train
28,,,T0007_T,Ripe,defected,2 Long radial cracks,,,,,,T0007_T,defected,T0007,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0007_T.JPG,Unsegmented,train
29,,8.0,T0008_E,Ripe,clear,,,,radial cracks,,,T0008_E,clear,T0008,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0008_E.png,Manualy Segmented,train
29,,8.0,T0008_E,Ripe,clear,,,,radial cracks,,,T0008_E,clear,T0008,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0008_E.JPG,Unsegmented,train
30,,,T0008_S1,Ripe,defected,black spot,,,,,,T0008_S1,defected,T0008,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0008_S1.png,Manualy Segmented,train
30,,,T0008_S1,Ripe,defected,black spot,,,,,,T0008_S1,defected,T0008,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0008_S1.JPG,Unsegmented,train
31,,,T0008_S2,Ripe,defected,Long horizontal crack,,,,,,T0008_S2,defected,T0008,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0008_S2.png,Manualy Segmented,train
31,,,T0008_S2,Ripe,defected,Long horizontal crack,,,,,,T0008_S2,defected,T0008,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0008_S2.JPG,Unsegmented,train
32,,,T0008_T,Ripe,defected,1 Long radial crack,Yellow Shoulders,,,Yellow Shoulders,,T0008_T,defected,T0008,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0008_T.png,Manualy Segmented,train
32,,,T0008_T,Ripe,defected,1 Long radial crack,Yellow Shoulders,,,Yellow Shoulders,,T0008_T,defected,T0008,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0008_T.JPG,Unsegmented,train
33,,9.0,T0009_E,Ripe,clear,,,,radial cracks,,,T0009_E,clear,T0009,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0009_E.png,Manualy Segmented,train
33,,9.0,T0009_E,Ripe,clear,,,,radial cracks,,,T0009_E,clear,T0009,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0009_E.JPG,Unsegmented,train
34,,,T0009_S1,Ripe,defected,Long horizontal crack,,,,,,T0009_S1,defected,T0009,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0009_S1.png,Manualy Segmented,train
34,,,T0009_S1,Ripe,defected,Long horizontal crack,,,,,,T0009_S1,defected,T0009,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0009_S1.JPG,Unsegmented,train
35,,,T0009_S2,Ripe,clear,,,,,,,T0009_S2,clear,T0009,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0009_S2.png,Manualy Segmented,train
35,,,T0009_S2,Ripe,clear,,,,,,,T0009_S2,clear,T0009,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0009_S2.JPG,Unsegmented,train
36,,,T0009_T,Ripe,defected,1 Long radial crack,,,,,,T0009_T,defected,T0009,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0009_T.png,Manualy Segmented,train
36,,,T0009_T,Ripe,defected,1 Long radial crack,,,,,,T0009_T,defected,T0009,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0009_T.JPG,Unsegmented,train
41,,11.0,T0011_E,Ripe,clear,,,,radial cracks,,,T0011_E,clear,T0011,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0011_E.png,Manualy Segmented,train
41,,11.0,T0011_E,Ripe,clear,,,,radial cracks,,,T0011_E,clear,T0011,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0011_E.JPG,Unsegmented,train
42,,,T0011_S1,Ripe,defected,Long horizontal crack,,,,,,T0011_S1,defected,T0011,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0011_S1.png,Manualy Segmented,train
42,,,T0011_S1,Ripe,defected,Long horizontal crack,,,,,,T0011_S1,defected,T0011,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0011_S1.JPG,Unsegmented,train
43,,,T0011_S2,Ripe,clear,,,,,,,T0011_S2,clear,T0011,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0011_S2.png,Manualy Segmented,train
43,,,T0011_S2,Ripe,clear,,,,,,,T0011_S2,clear,T0011,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0011_S2.JPG,Unsegmented,train
44,,,T0011_T,Ripe,defected,1 Long radial crack,,,,,,T0011_T,defected,T0011,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0011_T.png,Manualy Segmented,train
44,,,T0011_T,Ripe,defected,1 Long radial crack,,,,,,T0011_T,defected,T0011,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0011_T.JPG,Unsegmented,train
53,,14.0,T0014_E,Ripe,clear,,,,concentric cracks,,,T0014_E,clear,T0014,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0014_E.png,Manualy Segmented,train
53,,14.0,T0014_E,Ripe,clear,,,,concentric cracks,,,T0014_E,clear,T0014,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0014_E.JPG,Unsegmented,train
54,,,T0014_S1,Ripe,defected,1 Vertical crack,,,,,,T0014_S1,defected,T0014,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0014_S1.png,Manualy Segmented,train
54,,,T0014_S1,Ripe,defected,1 Vertical crack,,,,,,T0014_S1,defected,T0014,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0014_S1.JPG,Unsegmented,train
55,,,T0014_S2,Ripe,defected,2 Vertical cracks,black hole,,,worms,,T0014_S2,defected,T0014,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0014_S2.png,Manualy Segmented,train
55,,,T0014_S2,Ripe,defected,2 Vertical cracks,black hole,,,worms,,T0014_S2,defected,T0014,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0014_S2.JPG,Unsegmented,train
56,,,T0014_T,Ripe,defected,1 concentric crack,,,,,,T0014_T,defected,T0014,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0014_T.png,Manualy Segmented,train
56,,,T0014_T,Ripe,defected,1 concentric crack,,,,,,T0014_T,defected,T0014,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0014_T.JPG,Unsegmented,train
57,,15.0,T0015_E,Ripe,clear,,,,Normal,,,T0015_E,clear,T0015,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0015_E.png,Manualy Segmented,train
57,,15.0,T0015_E,Ripe,clear,,,,Normal,,,T0015_E,clear,T0015,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0015_E.JPG,Unsegmented,train
58,,,T0015_S1,Ripe,clear,,,,,,,T0015_S1,clear,T0015,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0015_S1.png,Manualy Segmented,train
58,,,T0015_S1,Ripe,clear,,,,,,,T0015_S1,clear,T0015,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0015_S1.JPG,Unsegmented,train
59,,,T0015_S2,Ripe,clear,,,,,,,T0015_S2,clear,T0015,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0015_S2.png,Manualy Segmented,train
59,,,T0015_S2,Ripe,clear,,,,,,,T0015_S2,clear,T0015,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0015_S2.JPG,Unsegmented,train
60,,,T0015_T,Ripe,clear,,,,,,,T0015_T,clear,T0015,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0015_T.png,Manualy Segmented,train
60,,,T0015_T,Ripe,clear,,,,,,,T0015_T,clear,T0015,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0015_T.JPG,Unsegmented,train
65,,17.0,T0017_E,Ripe,clear,,,,Normal,,,T0017_E,clear,T0017,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0017_E.png,Manualy Segmented,train
65,,17.0,T0017_E,Ripe,clear,,,,Normal,,,T0017_E,clear,T0017,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0017_E.JPG,Unsegmented,train
66,,,T0017_S1,Ripe,clear,,,,,,,T0017_S1,clear,T0017,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0017_S1.png,Manualy Segmented,train
66,,,T0017_S1,Ripe,clear,,,,,,,T0017_S1,clear,T0017,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0017_S1.JPG,Unsegmented,train
67,,,T0017_S2,Ripe,clear,,,,,,,T0017_S2,clear,T0017,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0017_S2.png,Manualy Segmented,train
67,,,T0017_S2,Ripe,clear,,,,,,,T0017_S2,clear,T0017,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0017_S2.JPG,Unsegmented,train
68,,,T0017_T,Ripe,defected,Yellow Shoulders,,,,Yellow Shoulders,,T0017_T,defected,T0017,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0017_T.png,Manualy Segmented,train
68,,,T0017_T,Ripe,defected,Yellow Shoulders,,,,Yellow Shoulders,,T0017_T,defected,T0017,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0017_T.JPG,Unsegmented,train
69,,18.0,T0018_E,Ripe,clear,,,,Normal,,,T0018_E,clear,T0018,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0018_E.png,Manualy Segmented,train
69,,18.0,T0018_E,Ripe,clear,,,,Normal,,,T0018_E,clear,T0018,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0018_E.JPG,Unsegmented,train
70,,,T0018_S1,Ripe,clear,,,,,,,T0018_S1,clear,T0018,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0018_S1.png,Manualy Segmented,train
70,,,T0018_S1,Ripe,clear,,,,,,,T0018_S1,clear,T0018,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0018_S1.JPG,Unsegmented,train
71,,,T0018_S2,Ripe,clear,,,,,,,T0018_S2,clear,T0018,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0018_S2.png,Manualy Segmented,train
71,,,T0018_S2,Ripe,clear,,,,,,,T0018_S2,clear,T0018,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0018_S2.JPG,Unsegmented,train
72,,,T0018_T,Ripe,clear,,,,,,,T0018_T,clear,T0018,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0018_T.png,Manualy Segmented,train
72,,,T0018_T,Ripe,clear,,,,,,,T0018_T,clear,T0018,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0018_T.JPG,Unsegmented,train
81,,21.0,T0021_E,Ripe,clear,,,,Normal,,,T0021_E,clear,T0021,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0021_E.png,Manualy Segmented,train
81,,21.0,T0021_E,Ripe,clear,,,,Normal,,,T0021_E,clear,T0021,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0021_E.JPG,Unsegmented,train
82,,,T0021_S1,Ripe,clear,,,,,,,T0021_S1,clear,T0021,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0021_S1.png,Manualy Segmented,train
82,,,T0021_S1,Ripe,clear,,,,,,,T0021_S1,clear,T0021,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0021_S1.JPG,Unsegmented,train
83,,,T0021_S2,Ripe,clear,,,,,,,T0021_S2,clear,T0021,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0021_S2.png,Manualy Segmented,train
83,,,T0021_S2,Ripe,clear,,,,,,,T0021_S2,clear,T0021,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0021_S2.JPG,Unsegmented,train
84,,,T0021_T,Ripe,clear,,,,,,,T0021_T,clear,T0021,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0021_T.png,Manualy Segmented,train
84,,,T0021_T,Ripe,clear,,,,,,,T0021_T,clear,T0021,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0021_T.JPG,Unsegmented,train
85,,22.0,T0022_E,Ripe,clear,,,,Normal,,,T0022_E,clear,T0022,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0022_E.png,Manualy Segmented,train
85,,22.0,T0022_E,Ripe,clear,,,,Normal,,,T0022_E,clear,T0022,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0022_E.JPG,Unsegmented,train
86,,,T0022_S1,Ripe,clear,,,,,,,T0022_S1,clear,T0022,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0022_S1.png,Manualy Segmented,train
86,,,T0022_S1,Ripe,clear,,,,,,,T0022_S1,clear,T0022,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0022_S1.JPG,Unsegmented,train
87,,,T0022_S2,Ripe,clear,,,,,,,T0022_S2,clear,T0022,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0022_S2.png,Manualy Segmented,train
87,,,T0022_S2,Ripe,clear,,,,,,,T0022_S2,clear,T0022,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0022_S2.JPG,Unsegmented,train
88,,,T0022_T,Ripe,clear,,,,,,,T0022_T,clear,T0022,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0022_T.png,Manualy Segmented,train
88,,,T0022_T,Ripe,clear,,,,,,,T0022_T,clear,T0022,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0022_T.JPG,Unsegmented,train
93,,24.0,T0024_E,Ripe,clear,,,,Normal,,,T0024_E,clear,T0024,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0024_E.png,Manualy Segmented,train
93,,24.0,T0024_E,Ripe,clear,,,,Normal,,,T0024_E,clear,T0024,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0024_E.JPG,Unsegmented,train
94,,,T0024_S1,Ripe,clear,,,,,,,T0024_S1,clear,T0024,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0024_S1.png,Manualy Segmented,train
94,,,T0024_S1,Ripe,clear,,,,,,,T0024_S1,clear,T0024,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0024_S1.JPG,Unsegmented,train
95,,,T0024_S2,Ripe,clear,,,,,,,T0024_S2,clear,T0024,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0024_S2.png,Manualy Segmented,train
95,,,T0024_S2,Ripe,clear,,,,,,,T0024_S2,clear,T0024,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0024_S2.JPG,Unsegmented,train
96,,,T0024_T,Ripe,clear,,,,,,,T0024_T,clear,T0024,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0024_T.png,Manualy Segmented,train
96,,,T0024_T,Ripe,clear,,,,,,,T0024_T,clear,T0024,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0024_T.JPG,Unsegmented,train
